NAME,DIRECTOR,YEAR,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,TOTALTOPIC
Wings,William A. Wellman,1928,0,,,,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,1,0,0.2857142857
The Broadway Melody,Harry Beaumont,1929,0,,,,0,0,0,0,0,,,0,1,1,0,2,0,0,0,0,1,0,1,0,0.2857142857
All Quiet on the Western Front,Lewis Milestone,1930,0,,,,0,1,0,0,1,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2857142857
Cimarron,Wesley Ruggles,1931,1,,,,0,0,0,0,1,,,0,1,0,0,0,0,0,1,0,0,0,1,0,0.2857142857
Grand Hotel,Edmund Goulding,1932,0,,,,1,0,0,0,0,,,0,1,1,0,2,0,0,0,0,0,0,1,0,0.1428571429
Cavalcade,Frank Lloyd,1933,1,,,,0,3,1,0,1,,,0,1,1,1,2,0,0,0,0,0,0,1,0,0.1428571429
It Happened One Night,Frank Capra,1934,0,,,,0,1,0,0,0,,,0,1,1,0,2,0,0,0,0,1,0,1,0,0.2857142857
Mutiny on the Bounty,Frank Lloyd,1935,1,,,,2,4,1,1,0,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1428571429
The Great Ziegfeld,Robert Z. Leonard,1936,1,,,,0,1,0,1,0,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1428571429
The Life of Emile Zola,William Dierterle,1937,1,,,,1,0,0,1,0,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0.2857142857
You Can't Take It with You,Frank Capra,1938,1,,,,1,3,0,0,0,,,0,0,1,0,2,0,0,0,0,1,0,1,0,0.2857142857
Gone with the Wind,Victor Fleming,1939,1,,,,1,0,0,0,0,,,0,1,1,0,2,0,1,1,1,0,0,1,0,0.5714285714
Rebecca,Alfred Hitchcock,1940,1,,,,0,0,0,0,0,,,0,1,1,0,2,0,1,0,0,0,0,1,0,0.2857142857
How Green Was My Valley,John Ford,1941,0,,,,0,3,0,0,0,,,1,1,1,0,2,0,1,0,0,1,0,1,0,0.4285714286
Mrs. Miniver,William Wyler,1942,1,,,,0,4,1,0,0,,,0,1,1,1,2,0,1,0,1,0,0,1,0,0.4285714286
Casablanca,Michael Curtiz,1943,0,,,0,0,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1428571429
Going My Way,Leo McCarey,1944,1,,,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lost Weekend,Billy Wilder,1945,0,,,1,0,1,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2857142857
The Best Years of Our Lives,William Wyler,1946,1,,,0,0,5,1,0,0,,,0,0,1,0,0,0,1,0,0,0,0,1,1,0.4285714286
Gentleman's Agreement,Elia Kazan,1947,1,,,1,0,0,0,0,0,,,0,0,1,1,2,0,0,1,1,0,0,1,0,0.4285714286
Hamlet,Laurence Olivier,1948,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2857142857
All the King's Men,Robert Rossen,1949,0,1,,1,0,0,0,0,1,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0.4285714286
All About Eve,Joseph L. Mankiewicz,1950,1,1,,0,2,1,0,0,1,,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0.2857142857
An American in Paris,Vincente Minnelli,1951,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1428571429
