NAME,DIRECTOR,YEAR,WIN,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,THEMEONLY,PROB,ADJPROB
Wings,William A. Wellman,1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.2857142857,0.125,0.2
The Broadway Melody,Harry Beaumont,1929,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0.2857142857,0.25,0.4
All Quiet on the Western Front,Lewis Milestone,1930,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2857142857,0.1666666667,0.2
Cimarron,Wesley Ruggles,1931,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.2857142857,0.2083333333,0.2
Grand Hotel,Edmund Goulding,1932,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0.1428571429,0.25,0.4
Cavalcade,Frank Lloyd,1933,1,1,0,0,0,0,3,1,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0.1428571429,0.5,0.9
It Happened One Night,Frank Capra,1934,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0.2857142857,0.2916666667,0.5
Mutiny on the Bounty,Frank Lloyd,1935,1,1,0,0,0,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1428571429,0.4583333333,1
The Great Ziegfeld,Robert Z. Leonard,1936,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1428571429,0.2083333333,0.3
The Life of Emile Zola,William Dierterle,1937,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.2857142857,0.2083333333,0.4
You Can't Take It with You,Frank Capra,1938,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0.2857142857,0.4166666667,0.9
